id,name,name_with_place,municipality,locality,modes,lines,line_count,has_bus,has_rail
de:08115:3105,Elbenplatz,Böblingen Elbenplatz,Böblingen,Böblingen,Bus,"705, 709, 709A, 721, 721A, 723, 725, 760, 760A, 761, X16, X76",12,True,False
de:08115:4631,Hauptstraße,Dagersheim Hauptstraße,Böblingen,Dagersheim,Bus; Nachtbus,"707, 717, 722, 722A, 723, 723A, 743, 744, 763, 763A, 766, N75",12,True,False
de:08115:4630,Haus der Vereine,Dagersh. Haus d. Vereine,Böblingen,Dagersheim,Bus; Nachtbus,"707, 717, 722, 722A, 723, 723A, 743, 744, 763, 763A, 766, N75",12,True,False
de:08115:3104,Postplatz,Böblingen Postplatz,Böblingen,Böblingen,Bus,"705, 709, 709A, 721, 721A, 723, 725, 760, 760A, 761, X16, X76",12,True,False
de:08115:3101,Arbeiterzentrum,Böblingen Arbeiterzentrum,Böblingen,Böblingen,Bus,"705, 709, 709A, 721, 723, 725, 760, 760A, 761, X16, X76",11,True,False
de:08115:4620,Calwer Straße,Böblingen Calwer Str.,Böblingen,Böblingen,Bus; Nachtbus,"707, 717, 722A, 723, 728, 743, 744, 763, 763A, 766, N75",11,True,False
de:08115:4621,Calwer Straße (Hulb),Böblingen Calwer Str. (Hulb),Böblingen,Böblingen,Bus; Nachtbus,"705, 707, 717, 722A, 723, 743, 744, 763, 763A, 766, N75",11,True,False
de:08115:3125,Klaffensteinstraße,Böblingen Klaffensteinstr.,Böblingen,Böblingen,Bus; Ruftaxi,"705, 709, 723, 725, 760, 760A, 761, X16, X76, RT760",10,True,False
de:08115:4619,Talstraße,Böblingen Talstraße,Böblingen,Böblingen,Bus,"707, 717, 722A, 723, 728, 743, 744, 763, 763A, 766",10,True,False
de:08115:4764,Aidlinger Straße,Dagersheim Aidlinger Str.,Böblingen,Dagersheim,Bus,"707, 717, 722, 722A, 723, 743, 744, 763, 763A",9,True,False
de:08115:3127,Sporthalle,Böblingen Sporthalle,Böblingen,Böblingen,Bus; Nachtbus,"703, 705, 709, 760, 760A, 761, X16, X76, N73",9,True,False
de:08115:3112,Friedrich-List-Platz,Böblingen Friedrich-List-Platz,Böblingen,Böblingen,Bus; Nachtbus,"705, 706, 709, 709A, 721, 723, 725, N74",8,True,False
de:08115:4672,Schönaicher First,Böblingen Schönaicher First,Böblingen,Böblingen,Bus; Nachtbus,"709, 709A, 760, 760A, 761, X16, X76, N74",8,True,False
de:08115:4655,Eichenpfädle,Dagersh. Eichenpfädle,Böblingen,Dagersheim,Bus,"707, 717, 717A, 722A, 723, 723A, 763",7,True,False
de:08115:4692,Hallenbad,Böblingen Hallenbad,Böblingen,Böblingen,Bus; Nachtbus,"709, 760, 760A, 761, X16, X76, N74",7,True,False
de:08115:4632,Kirche,Dagersheim Kirche,Böblingen,Dagersheim,Bus,"707, 717, 717A, 722A, 723, 723A, 763",7,True,False
de:08115:4633,Schützenweg,Dagersheim Schützenweg,Böblingen,Dagersheim,Bus,"707, 717, 717A, 722A, 723, 723A, 763",7,True,False
de:08115:4205,Sindelfinger Straße,Böblingen Sindelfinger Str.,Böblingen,Böblingen,Bus,"701, 701A, 709, 709A, 744, 763, 763A",7,True,False
de:08115:4617,Abzweig Rauher Kapf,Böblingen Abzw. Rauher Kapf,Böblingen,Böblingen,Bus; Nachtbus,"760, 760A, 761, X16, X76, N74",6,True,False
de:08115:6751,Diezenhalde (Zentrum),Böbl. Diezenhalde (Zentrum),Böblingen,Böblingen,Bus; Nachtbus,"701, 703, 705, 721, 721A, N73",6,True,False
de:08115:3139,Diezenhalde (Zentrum) Süd,Böbl. Diezenh. (Zentrum) Süd,Böblingen,Böblingen,Bus,"701, 701A, 705, 721, 721A",5,True,False
de:08115:4669,Eichendorff-Schule,Böblingen Eichendorff-Schule,Böblingen,Böblingen,Bus; Nachtbus,"703, 709A, 723, 725, N73",5,True,False
de:08115:4705,Freiburger Allee,Böblingen Freiburger Allee,Böblingen,Böblingen,Bus,"701, 701A, 703, 705, 721A",5,True,False
de:08115:4716,Herrenberger Straße,Böblingen Herrenberger Straße,Böblingen,Böblingen,Bus; SEV-Bus,"R46E, 722, 722A, 763A, S1E",5,True,False
de:08115:3103,Karlstraße,Böblingen Karlstraße,Böblingen,Böblingen,Bus; Nachtbus,"701, 701A, 703, 721, N74",5,True,False
de:08115:4707,Kremser Straße,Böblingen Kremser Straße,Böblingen,Böblingen,Bus; SEV-Bus,"R46E, 722, 722A, 723A, 763A",5,True,False
de:08115:5807,Panzerkaserne,Böblingen Panzerkaserne,Böblingen,Böblingen,Bus; Nachtbus,"704A, 708, 725, 734, N73",5,True,False
de:08115:4670,Schulzentrum Murkenbach,Böbl. Schulzentrum Murkenbach,Böblingen,Böblingen,Bus,"703, 709A, 721A, 723",4,True,False
de:08116:7801,ZOB,Esslingen (N) ZOB,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus; SEV-Bus,"101, 102, 103, 104, 105, 106, 108, 109, 110, 111, 113, 114, 115, 118, 119, 120, 122, 130, 131, 140, N12, N13, N14, N16, N19, N22, X20, S1E, MEX16E",29,True,False
de:08116:2806,Pliensauturm,Esslingen (N) Pliensauturm,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"101, 102, 103, 104, 106, 108, 110, 111, 113, 114, 115, 118, 119, 120, 130, 131, 140, N12, N13, N14, N16, N19, N22",23,True,False
de:08116:2800,Maille,Esslingen (N) Maille,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"102, 103, 108, 110, 111, 113, 118, 119, 120, 130, 131, N14, N16, N19, N22",15,True,False
de:08116:4007,Schelztor,Esslingen (N) Schelztor,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"101, 102, 103, 105, 108, 109, 110, 115, 122, N14",10,True,False
de:08116:2801,Weilstraße,Pliensauv. Weilstraße,Esslingen am Neckar,Pliensauvorstadt,Bus; Nachtbus,"113, 118, 119, 120, 122, 130, 131, N19, N22",9,True,False
de:08116:4094,Katharinenstaffel,Essl.(N) Katharinenstaffel,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"102, 103, 105, 108, 110, 111, N12, N14",8,True,False
de:08116:4034,Kleiner Markt,Esslingen (N) Kleiner Markt,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"102, 103, 105, 108, 109, 110, 122, N14",8,True,False
de:08116:4006,Schwimmbad,Esslingen (N) Schwimmbad,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"101, 106, 113, 114, 115, 140, N13, N16",8,True,False
de:08116:4033,Neckar Forum,Esslingen (N) Neckar Forum,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"102, 103, 105, 108, 110, 122, N14",7,True,False
de:08116:4002,Steinhalde,Oberesslingen Steinhalde,Esslingen am Neckar,Oberesslingen,Bus; Nachtbus,"101, 106, 114, 114A, 132, 140, N16",7,True,False
de:08116:3807,Alte Heusteige,Zell Alte Heusteige,Esslingen am Neckar,Zell (Esslingen),Bus,"102, 103, 114A, 115, 138, 140",6,True,False
de:08116:4170,Berufliches Schulzentrum,Zell Berufliches Schulzentrum,Esslingen am Neckar,Zell (Esslingen),Bus,"102, 103, 104, 114A, 115, 138",6,True,False
de:08116:3805,Charlottenplatz,Esslingen (N) Charlottenplatz,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"101, 106, 114, 115, 140, N16",6,True,False
de:08116:4028,Hirschlandkopf,Esslingen (N) Hirschlandkopf,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"102, 103, 105, 108, 111, N14",6,True,False
de:08116:4022,Hochschule,Esslingen (N) Hochschule,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"108, 110, 111, 122, N12, N14",6,True,False
de:08116:3810,Indexstraße/Bahnhof,Oberesslingen Indexstr/Bahnhof,Esslingen am Neckar,Oberesslingen,Bus; Nachtbus,"101, 106, 114, 115, 140, N16",6,True,False
de:08116:4063,Lenaudenkmal,Esslingen (N) Lenaudenkmal,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus,"102, 103, 105, 108, 111, N14",6,True,False
de:08116:4037,Adalbert-Stifter-Schule,Pliensauv. A.-Stifter-Schule,Esslingen am Neckar,Pliensauvorstadt,Bus,"102, 103, 122, 130, 131",5,True,False
de:08116:4047,Alleenstraße,Zell Alleenstraße,Esslingen am Neckar,Zell (Esslingen),Bus,"102, 103, 104, 115, 138",5,True,False
de:08116:6770,Im Holder,Pliensauv. Im Holder,Esslingen am Neckar,Pliensauvorstadt,Bus; Nachtbus,"113, 118, 119, 120, N19",5,True,False
de:08116:5024,Oberer Eisbergweg,Zollberg Ob. Eisbergweg,Esslingen am Neckar,Zollberg,Bus; Nachtbus,"113, 118, 119, 120, N19",5,True,False
de:08116:3850,Steinbeisstraße,Zell Steinbeisstraße,Esslingen am Neckar,Zell (Esslingen),Bus,"102, 103, 114A, 115, 138",5,True,False
de:08116:4026,Weiherstraße,Oberessl. Weiherstraße,Esslingen am Neckar,Oberesslingen,Bus,"102, 103, 114A, 132, 138",5,True,False
de:08116:4169,Zentrum,Zell Zentrum,Esslingen am Neckar,Zell (Esslingen),Bus,"102, 103, 114A, 115, 138",5,True,False
de:08116:4027,Zimmerbachstraße,Oberesslingen Zimmerbachstr.,Esslingen am Neckar,Oberesslingen,Bus,"102, 103, 114A, 132, 138",5,True,False
de:08116:2803,Zollberg,Zollberg,Esslingen am Neckar,Zollberg,Bus; Nachtbus,"113, 118, 119, 120, N19",5,True,False
de:08116:4148,Gemeindezentrum,Berkh. Gemeindezentrum,Esslingen am Neckar,Berkheim,Bus; Nachtbus,"113, 138, N13",3,True,False
de:08116:4113,Zentrum,Sulzgries Zentrum,Esslingen am Neckar,Sulzgries,Bus; Nachtbus,"109, 132, N12",3,True,False
de:08116:3326,Bahnhof (Süd),Oberessl. Bahnhof (Süd),Esslingen am Neckar,Oberesslingen,Bus,"104, 121",2,True,False
