Name,Name mit Ort,Nummer,Globale ID,GKZ,Gemeinde,Teilort,Landkreis,Relationscode,Tarifzonen,Verkehrsmittel,Linien (EFA),Linien (DIVA),Anzahl Linien,Betriebszweige,X-Koordinate,Y-Koordinate,Unnamed: 17
Waldburgstraße,Waldburgstraße,2,de:08111:2,08111000,Stuttgart,Stuttgart,S,322,"20,1",Bus;Nachtbus,"81,82,86,N10","30081_,30082_,30086_,33010_",4,"30,33","9,1077806","48,7257731",
Fauststraße,Fauststraße,5,de:08111:5,08111000,Stuttgart,Stuttgart,S,422,"20,1",Nachtbus;Stadtbahn,"U14,N10","20014_,33010_",2,"20,33","9,1151344","48,7319078",
Vaihingen Viadukt,Vaihingen Viadukt,6,de:08111:6,08111000,Stuttgart,Stuttgart,S,422,"20,1",Stadtbahn,U14,20014_,1,20,"9,1187127","48,7332530",
Engelboldstraße,Engelboldstraße,8,de:08111:8,08111000,Stuttgart,Stuttgart,S,422,"20,1",Nachtbus;Stadtbahn,"U14,N10","20014_,33010_",2,"20,33","9,1280625","48,7374334",
Südheimer Platz,Südheimer Platz,13,de:08111:13,08111000,Stuttgart,Stuttgart,S,007,"10,1",Bus;Nachtbus;Seilbahn;Stadtbahn,"U1,U14,20,U1E,20E,N1","20001_,20014_,21020_,30001e,30020e,33001_",6,"20,21,30,33","9,1436295","48,7566408",
Bihlplatz,Bihlplatz,15,de:08111:15,08111000,Stuttgart,Stuttgart,S,007,"10,1",Stadtbahn,"U1,U14","20001_,20014_",2,20,"9,1514184","48,7597781",
Neckartor,Neckartor,25,de:08111:25,08111000,Stuttgart,Stuttgart,S,010,"10,1",Nachtbus;Stadtbahn,"U1,U2,U4,U9,U11,U14,N4,N6","20001_,20002_,20004_,20009_,20011_,20014_,33004_,33006_",8,"20,33","9,1901864","48,7861311",
Stöckach,Stöckach,26,de:08111:26,08111000,Stuttgart,Stuttgart,S,002,"10,1",Nachtbus;Stadtbahn,"U1,U2,U4,U9,U11,U14,N4,N6","20001_,20002_,20004_,20009_,20011_,20014_,33004_,33006_",8,"20,33","9,1949740","48,7889826",
Metzstraße,Metzstraße,27,de:08111:27,08111000,Stuttgart,Stuttgart,S,002,"10,1",Stadtbahn,"U1,U2,U11,U14","20001_,20002_,20011_,20014_",4,20,"9,2005394","48,7922283",
Mineralbäder,Mineralbäder,28,de:08111:28,08111000,Stuttgart,Stuttgart,S,120,"10,20,1",Stadtbahn,"U1,U2,U11,U14","20001_,20002_,20011_,20014_",4,20,"9,2057305","48,7969311",
