gml_id,id,stop,name,nameWithPl,globalId,omc,placeName,locality,tariffZone,fareNo,fareCode,meansList,lineList,lineListEf,lineListDi,branchList,owner,responsibl
,1,2,Waldburgstraße,Waldburgstraße,de:08111:2,8111000,Stuttgart,Stuttgart,1,20.0,322.0,Bus;Nachtbus,"81,82,86,N10","81,82,86,N10","30081_,30082_,30086_,33010_","30,33",SSB,SSB
,2,5,Fauststraße,Fauststraße,de:08111:5,8111000,Stuttgart,Stuttgart,1,20.0,422.0,Nachtbus;Stadtbahn,"U14,N10","U14,N10","20014_,33010_","20,33",SSB,SSB
,3,6,Vaihingen Viadukt,Vaihingen Viadukt,de:08111:6,8111000,Stuttgart,Stuttgart,1,20.0,422.0,Stadtbahn,U14,U14,20014_,20,SSB,SSB
,4,8,Engelboldstraße,Engelboldstraße,de:08111:8,8111000,Stuttgart,Stuttgart,1,20.0,422.0,Nachtbus;Stadtbahn,"U14,N10","U14,N10","20014_,33010_","20,33",SSB,SSB
,5,13,Südheimer Platz,Südheimer Platz,de:08111:13,8111000,Stuttgart,Stuttgart,1,10.0,7.0,Bus;Nachtbus;Seilbahn;Stadtbahn,"U1,U14,20,20E,N1","U1,U14,20,20E,N1","20001_,20014_,21020_,30020e,33001_","20,21,30,33",SSB,SSB
,6,15,Bihlplatz,Bihlplatz,de:08111:15,8111000,Stuttgart,Stuttgart,1,10.0,7.0,Stadtbahn,"U1,U14","U1,U14","20001_,20014_",20,SSB,SSB
,8,25,Neckartor,Neckartor,de:08111:25,8111000,Stuttgart,Stuttgart,1,10.0,10.0,Nachtbus;Stadtbahn,"U1,U2,U4,U9,U14,N4,N6","U1,U2,U4,U9,U14,N4,N6","20001_,20002_,20004_,20009_,20014_,33004_,33006_","20,33",SSB,SSB
,9,26,Stöckach,Stöckach,de:08111:26,8111000,Stuttgart,Stuttgart,1,10.0,2.0,Nachtbus;Stadtbahn,"U1,U2,U4,U9,U14,N4,N6","U1,U2,U4,U9,U14,N4,N6","20001_,20002_,20004_,20009_,20014_,33004_,33006_","20,33",SSB,SSB
,10,27,Metzstraße,Metzstraße,de:08111:27,8111000,Stuttgart,Stuttgart,1,10.0,2.0,Stadtbahn,"U1,U2,U14","U1,U2,U14","20001_,20002_,20014_",20,SSB,SSB
,11,28,Mineralbäder,Mineralbäder,de:08111:28,8111000,Stuttgart,Stuttgart,1,120.0,120.0,Stadtbahn,"U1,U2,U14","U1,U2,U14","20001_,20002_,20014_",20,SSB,SSB
,12,30,Mercedesstraße,Mercedesstraße,de:08111:30,8111000,Stuttgart,Stuttgart,1,20.0,20.0,Stadtbahn,"U1,U2,U13,U16","U1,U2,U13,U16","20001_,20002_,20013_,20016_",20,SSB,SSB
,13,32,Uff-Kirchhof,Uff-Kirchhof,de:08111:32,8111000,Stuttgart,Stuttgart,1,20.0,20.0,Nachtbus;Stadtbahn,"U1,U13,U16,N6","U1,U13,U16,N6","20001_,20013_,20016_,33006_","20,33",SSB,SSB
,14,33,Augsburger Platz,Augsburger Platz,de:08111:33,8111000,Stuttgart,Stuttgart,1,20.0,20.0,Nachtbus;Stadtbahn,"U1,U16,N6","U1,U16,N6","20001_,20016_,33006_","20,33",SSB,SSB
,15,34,Nürnberger Straße,Nürnberger Straße,de:08111:34,8111000,Stuttgart,Stuttgart,1,20.0,320.0,Nachtbus;R-Bahn;S-Bahn;SEV-Bus;Stadtbahn,"S2,S3,MEX19,RE90,MEX90,U1,U16,N6,S3E","S2,S3,MEX19,RE90,MEX90,U1,U16,N6,S3E","10002_,10003_,11019_,11090_,11091_,20001_,20016_,33006_,36003e","10,11,20,33,36",SSB,SSB
,16,35,Antwerpener Straße,Antwerpener Straße,de:08111:35,8111000,Stuttgart,Stuttgart,1,20.0,320.0,Nachtbus;Stadtbahn,"U1,U16,N6","U1,U16,N6","20001_,20016_,33006_","20,33",SSB,SSB
,17,36,Beskidenstraße,Beskidenstraße,de:08111:36,8111000,Stuttgart,Stuttgart,1,20.0,319.0,Nachtbus;Stadtbahn,"U1,U16,N6","U1,U16,N6","20001_,20016_,33006_","20,33",SSB,SSB
