gml_id,id,line,dir,distGis,text,textEfa,textDiva,lineVersio,branch,title,validFrom,validUntil,operator,operatorco
,14275867,6117062,"H,R",154991,S1,S1,10001_,81,10,Kirchheim (T) - Plochingen - Stuttgart - Herrenberg,10.06.2026,10.06.2026,10 - DB,DB - db
,12584219,6117062,"H,R",154991,S1,S1,10001_,1,10,Kirchheim (T) - Plochingen - Stuttgart - Herrenberg,21.12.2025,,10 - DB,DB - db
,14540537,6116814,"H,R",118466,S2,S2,10002_,69,10,Schorndorf - Stuttgart - Flughafen/Messe - Filderstadt,10.06.2026,10.06.2026,10 - DB,DB - db
,12583147,6116814,"H,R",118466,S2,S2,10002_,1,10,Schorndorf - Stuttgart - Flughafen/Messe - Filderstadt,21.12.2025,,10 - DB,DB - db
,14540538,6117620,"H,R",101721,S3,S3,10003_,60,10,Backnang - Vaihingen (- Flughafen/Messe),10.06.2026,10.06.2026,10 - DB,DB - db
,12583148,6117620,"H,R",101721,S3,S3,10003_,1,10,Backnang - Vaihingen (- Flughafen/Messe),21.12.2025,,10 - DB,DB - db
,12583543,6117841,"H,R",83267,S4,S4,10004_,1,10,Backnang - Marbach - Stuttgart,21.12.2025,,10 - DB,DB - db
,12583439,6117801,"H,R",57989,S5,S5,10005_,1,10,Bietigheim-Bissingen - Stuttgart,14.12.2025,,10 - DB,DB - db
,12583132,6117945,"H,R",69073,S6,S6,10006_,1,10,Weil der Stadt - Leonberg - Stuttgart,14.12.2025,,10 - DB,DB - db
,14438439,6117945,"H,R",58965,S6,S6,10006_,59,10,Weil der Stadt - Leonberg - Stuttgart,06.06.2026,13.06.2026,10 - DB,DB - db
,14438440,6117445,"H,R",87494,S60,S60,10060_,39,10,Böblingen - Renningen (- Stuttgart),06.06.2026,13.06.2026,10 - DB,DB - db
,12583422,6117445,"H,R",87494,S60,S60,10060_,1,10,Böblingen - Renningen (- Stuttgart),14.12.2025,,10 - DB,DB - db
,13732373,6117445,"H,R",87494,S60,S60,10060_,21,10,Böblingen - Renningen (- Stuttgart),10.06.2026,10.06.2026,10 - DB,DB - db
,12583151,6118001,"H,R",54750,S62,S62,10062_,1,10,Weil der Stadt - Leonberg - Stuttgart,14.12.2025,,10 - DB,DB - db
,14463401,6116879,"H,R",321098,RE1,RE1,11001_,43,11,Aalen - Stuttgart - Vaihingen (E) - Karlsruhe,06.06.2026,25.06.2026,17 - Arverio,ARV - ARV
,13304044,6117329,"H,R",283622,RE4,RE4,11004_,1,11,Stuttgart - Horb - Konstanz,14.12.2025,,10 - DB,DB - db
,14507828,6117222,"H,R",142145,RE5,RE5,11005_,27,11,Stuttgart - Ulm - Friedrichshafen,10.06.2026,10.06.2026,10 - DB,DB - db
,13304067,6117222,"H,R",142145,RE5,RE5,11005_,1,11,Stuttgart - Ulm - Friedrichshafen,14.12.2025,,10 - DB,DB - db
,12583503,6117701,"H,R",112704,RE6,RE6,11006_,1,11,Tübingen - Plochingen - Stuttgart,21.12.2025,,10 - DB,DB - db
,14413650,6117701,"H,R",112704,RE6,RE6,11006_,13,11,Tübingen - Plochingen - Stuttgart,11.05.2026,31.07.2026,10 - DB,DB - db
,13570851,6117671,"H,R",130967,RE8,RE8,11008_,3,11,Würzburg - Heilbronn - Bietigheim-Bissingen - Stuttgart,04.04.2026,13.06.2026,17 - Arverio,ARV - ARV
,12583482,6117601,"H,R",22965,RB11,RB11,11011_,1,11,Kornwestheim - Untertürkheim,14.12.2025,,10 - DB,DB - db
,13550058,6117239,"H,R",438970,MEX12,MEX12,11012_,4,11,Heilbronn - Stuttgart - Tübingen,18.04.2026,13.06.2026,12 - SWEG,SWEG - SWEG
