id,name,name_with_place,municipality,locality,county,tariff_zones,modes,lines,line_count,longitude,latitude
de:08136:1000,Aalen,Aalen,Aalen,Aalen,AA,,R-Bahn; SEV-Bus,"RE1, MEX13, MEX19, RE90, MEX90, XEV",6,10.0963609,48.8411658
de:08111:2480,Aalstraße,Aalstraße,Stuttgart,Stuttgart,S,"20, 1",Bus; Nachtbus,"54, N5",2,9.2216887,48.8444438
de:08118:5503,Abelstraße,Ludwigsburg Abelstraße,Ludwigsburg,Ludwigsburg,LB,"34, 2",Bus,"424, 429, 430",3,9.1831114,48.8982583
de:08125:4663,Abstatter Straße,Auenstein Abstatter Str.,Ilsfeld,Auenstein,HNLA,,Bus,646,1,9.2773788,49.0597649
de:08425:2362,Abzw. Breitingen,Breitingen Abzw. Breitingen,Breitingen,Breitingen,ULLA,,Bus,46,1,9.9916561,48.5172086
de:08127:27509,Abzw. Hohenegarten,Mainhardt Abzw. Hohenegarten,Mainhardt,Mainhardt,SHA,6,Bus,"372, 380",2,9.53478,49.0698102
de:08127:28273,Abzw. Hohenegarten B14,Mainh. Abzw. Hoheneg. B14,Mainhardt,Mainhardt,SHA,6,Bus,380,1,9.5351203,49.0696377
de:08136:3058,Abzw. Rehnenhau/Wetzgau,GD Abzw. Rehnenh./Wetzgau,Schwäbisch Gmünd,Schwäbisch Gmünd,AA,6,Bus,"266A, 268",2,9.7867691,48.8168986
de:08425:2474,Abzw. Vorderdenk.,Westerstett. Abzw. Vorderdenk.,Westerstetten,Westerstetten,ULLA,,Bus,46,1,9.9550556,48.5173024
de:08115:5941,Abzweig,Dätzingen Abzw.,Grafenau,Dätzingen,BB,"56, 57, 4",Bus; Nachtbus; Ruftaxi,"766, 768A, N75, RT766",4,8.8960232,48.7161917
de:08115:4853,Abzweig,Mönchberg Abzw.,Herrenberg,Mönchberg,BB,"68, 5",Bus; Nachtbus,"791, 794, N80",3,8.9089751,48.578913
de:08115:4206,Abzweig,Holzgerlingen Abzw.,Holzgerlingen,Holzgerlingen,BB,"58, 4",Bus,756,1,9.0059242,48.6363663
de:08116:4419,Abzweig,Schlattstall Abzw.,Lenningen,Schlattstall,ES,"61, 71, 5, 6",Bus,176,1,9.4971663,48.5300132
de:08119:3701,Abzweig,Rohrbronn Abzw.,Remshalden,Rohrbronn,WN,"42, 52, 3, 4",Bus,245A,1,9.4712013,48.808209
de:08119:5197,Abzweig,Hebsack Abzw.,Remshalden,Hebsack,WN,"42, 52, 3, 4",Bus,"217, 245, 333",3,9.4721864,48.8087265
de:08118:5752,Abzweig,Aurich Abzw.,Vaihingen an der Enz,Aurich,LB,"56, 66, 4, 5",Bus,"592, 592A",2,8.9429536,48.9168876
de:08115:4789,Abzweig,Neuweiler Abzw.,Weil im Schönbuch,Neuweiler (Weil im Schönbuch),BB,"58, 68, 4, 5",Bus; Nachtbus; Ruftaxi,"756, 760A, 761, 761A, N74, RT46",6,9.0545242,48.6359666
de:08119:5093,Abzweig Altersberg,Kaisersbach Abzw. Altersberg,Kaisersbach,Kaisersbach,WN,"72, 73, 5",Bus,375,1,9.6684555,48.9407775
de:08117:55,Abzweig Auendorf,Bad Ditzenbach Abzw. Auendorf,Bad Ditzenbach,Bad Ditzenbach,GP,7,Bus; Nachtbus; Ruftaxi,"961, 966, 966A, 981A, 982, N96, RTN99",7,9.6973084,48.5860961
de:08117:52,Abzweig Ave Maria,Deggingen Abzw. Ave Maria,Deggingen,Deggingen,GP,7,Bus; Nachtbus,"961, 966, 966A, 981A, 982, N96",6,9.7215034,48.5975116
de:08117:7607,Abzweig B10,Salach Abzw. B10,Salach,Salach,GP,6,Bus,972,1,9.7370962,48.6841471
de:08117:49,Abzweig B466,Reichenbach i.T. Abzw. B466,Deggingen,Reichenbach im Täle (Deggingen),GP,7,Bus; Nachtbus,"966, 966A, N96",3,9.7358789,48.6099294
